Columns,,,,,,,,,,,,,
,,,,,,,,,,,,,tonnes CH4
EF_W_ASSOCIATED_NG_UNITS.FACILITY_NAME,,,,,,,,,,Row Labels,Sum of NUMBER_OF_WELLS_VENTING,Sum of NUMBER_OF_WELLS_FLARING,Sum of VENTING_CH4_EMISSIONS
EF_W_ASSOCIATED_NG_UNITS.FACILITY_ID,,,,,,,,,,Onshore petroleum and natural gas production [98.230(a)(2)],4264,25144,15865.71942
EF_W_ASSOCIATED_NG_UNITS.REPORTING_YEAR,,,,,,,,,,Flared,0,25144,0
EF_W_ASSOCIATED_NG_UNITS.TABLE_NUM,,,,,,,,,,Vented,4264,0,15865.71942
EF_W_ASSOCIATED_NG_UNITS.TABLE_DESC,,,,,,,,,,Grand Total,4264,25144,15865.71942
EF_W_ASSOCIATED_NG_UNITS.INDUSTRY_SEGMENT,,,,,,,,,,,,,
EF_W_ASSOCIATED_NG_UNITS.SUB_BASIN_IDENTIFIER,,,,,,,,,,,,,
EF_W_ASSOCIATED_NG_UNITS.NATURAL_GAS_VENTED_OR_FLARED,,,,,,,,,,Total US production,31707.13955,Bscf/yr,
EF_W_ASSOCIATED_NG_UNITS.WELLS_TWO_YEAR_DELAY,,,,,,,,,,,,,
EF_W_ASSOCIATED_NG_UNITS.VOLUME_OF_OIL_PRODUCED,,,,,,,,,,Gas sent to vent,15865.71942,tonnes CH4,
EF_W_ASSOCIATED_NG_UNITS.VOLUME_OF_GAS_SENT_TO_SALES,,,,,,,,,,,15865719.42,kg CH4,
EF_W_ASSOCIATED_NG_UNITS.NUMBER_OF_WELLS_VENTING,,,,,,,,,,,826339553.4,scf CH4,
EF_W_ASSOCIATED_NG_UNITS.NUMBER_OF_WELLS_FLARING,,,,,,,,,,,1354655006,scf gas/year (assuming same composition as flaring sheet),
EF_W_ASSOCIATED_NG_UNITS.AVERAGE_GAS_TO_OIL_RATIO,,,,,,,,,,,1.354655006,Bscf/yr,
EF_W_ASSOCIATED_NG_UNITS.BASIN_AG_VENTING_CO2_EMISSIONS,,,,,,,,,,,,,
EF_W_ASSOCIATED_NG_UNITS.VENTING_CH4_EMISSIONS,,,,,,,,,,,4.2724E-05,,
EF_W_ASSOCIATED_NG_UNITS.BASIN_AG_FLARING_CO2_EMISSIONS,,,,,,,,,,,0.004272397,fraction of gas vented,
EF_W_ASSOCIATED_NG_UNITS.FLARING_CH4_EMISSIONS,,,,,,,,,,,,,
EF_W_ASSOCIATED_NG_UNITS.FLARING_N2O_EMISSIONS,,,,,,,,,,,,,
